Faixa etária,Gênero,Quantitativo,Porcentagem,Data de carga
100 anos ou mais,Feminino,5.0,0.8333,2024-04-24 00:33:39
100 anos ou mais,Masculino,1.0,0.1667,2024-04-24 00:33:39
16 anos,Masculino,1.0,1,2024-04-24 00:33:39
17 anos,Feminino,2.0,1,2024-04-24 00:33:39
18 anos,Feminino,357.0,0.5501,2024-04-24 00:33:39
18 anos,Masculino,292.0,0.4499,2024-04-24 00:33:39
19 anos,Feminino,771.0,0.5551,2024-04-24 00:33:39
19 anos,Masculino,618.0,0.4449,2024-04-24 00:33:39
20 anos,Feminino,1019.0,0.5165,2024-04-24 00:33:39
20 anos,Masculino,954.0,0.4835,2024-04-24 00:33:39
21 a 24 anos,Feminino,6029.0,0.4601,2024-04-24 00:33:39
21 a 24 anos,Masculino,7074.0,0.5399,2024-04-24 00:33:39
25 a 29 anos,Feminino,12039.0,0.4032,2024-04-24 00:33:39
25 a 29 anos,Masculino,17819.0,0.5968,2024-04-24 00:33:39
30 a 34 anos,Feminino,18707.0,0.3646,2024-04-24 00:33:39
30 a 34 anos,Masculino,32601.0,0.6354,2024-04-24 00:33:39
35 a 39 anos,Feminino,26583.0,0.344,2024-04-24 00:33:39
35 a 39 anos,Masculino,50696.0,0.656,2024-04-24 00:33:39
40 a 44 anos,Feminino,30323.0,0.3425,2024-04-24 00:33:39
40 a 44 anos,Masculino,58224.0,0.6575,2024-04-24 00:33:39
45 a 49 anos,Feminino,28414.0,0.3298,2024-04-24 00:33:39
45 a 49 anos,Masculino,57752.0,0.6702,2024-04-24 00:33:39
50 a 54 anos,Feminino,25045.0,0.3193,2024-04-24 00:33:39
50 a 54 anos,Masculino,53387.0,0.6807,2024-04-24 00:33:39
55 a 59 anos,Feminino,18929.0,0.3079,2024-04-24 00:33:39
55 a 59 anos,Masculino,42550.0,0.6921,2024-04-24 00:33:39
60 a 64 anos,Feminino,10726.0,0.2911,2024-04-24 00:33:39
60 a 64 anos,Masculino,26118.0,0.7089,2024-04-24 00:33:39
65 a 69 anos,Feminino,5302.0,0.2793,2024-04-24 00:33:39
65 a 69 anos,Masculino,13682.0,0.7207,2024-04-24 00:33:39
70 a 74 anos,Feminino,1888.0,0.2489,2024-04-24 00:33:39
70 a 74 anos,Masculino,5696.0,0.7511,2024-04-24 00:33:39
75 a 79 anos,Feminino,531.0,0.2151,2024-04-24 00:33:39
75 a 79 anos,Masculino,1938.0,0.7849,2024-04-24 00:33:39
80 a 84 anos,Feminino,128.0,0.2035,2024-04-24 00:33:39
80 a 84 anos,Masculino,501.0,0.7965,2024-04-24 00:33:39
85 a 89 anos,Feminino,22.0,0.1803,2024-04-24 00:33:39
85 a 89 anos,Masculino,100.0,0.8197,2024-04-24 00:33:39
90 a 94 anos,Feminino,4.0,0.2,2024-04-24 00:33:39
90 a 94 anos,Masculino,16.0,0.8,2024-04-24 00:33:39
95 a 99 anos,Feminino,3.0,0.375,2024-04-24 00:33:39
95 a 99 anos,Masculino,5.0,0.625,2024-04-24 00:33:39
Não divulgável,Não divulgável,277.0,1,2024-04-24 00:36:20
